,dates,infected
0,2020-02-26,0
1,2020-02-27,393
2,2020-02-28,786
3,2020-02-29,1179
4,2020-03-01,1572
5,2020-03-02,1965
6,2020-03-03,2357
7,2020-03-04,2750
8,2020-03-05,3143
9,2020-03-06,3536
10,2020-03-07,3929
11,2020-03-08,4322
12,2020-03-09,4714
13,2020-03-10,5107
14,2020-03-11,5499
15,2020-03-12,5892
16,2020-03-13,6285
17,2020-03-14,6678
18,2020-03-15,7071
19,2020-03-16,7464
20,2020-03-17,7857
21,2020-03-18,8250
22,2020-03-19,8642
23,2020-03-20,9035
24,2020-03-21,9428
25,2020-03-22,9821
26,2020-03-23,10214
27,2020-03-24,10607
28,2020-03-25,11000
29,2020-03-26,11393
30,2020-03-27,11786
31,2020-03-28,12178
32,2020-03-29,12571
33,2020-03-30,12964
34,2020-03-31,13357
35,2020-04-01,13750
36,2020-04-02,14143
37,2020-04-03,14536
38,2020-04-04,14929
39,2020-04-05,15321
40,2020-04-06,15714
41,2020-04-07,16107
42,2020-04-08,16500
43,2020-04-09,16893
44,2020-04-10,17286
45,2020-04-11,17679
46,2020-04-12,18072
47,2020-04-13,18464
48,2020-04-14,18857
49,2020-04-15,19250
50,2020-04-16,19643
51,2020-04-17,20036
52,2020-04-18,20429
53,2020-04-19,20822
54,2020-04-20,21215
55,2020-04-21,21607
56,2020-04-22,22000
57,2020-04-23,22393
58,2020-04-24,22786
59,2020-04-25,23179
60,2020-04-26,23572
61,2020-04-27,23965
62,2020-04-28,24358
63,2020-04-29,24750
64,2020-04-30,25143
65,2020-05-01,25536
66,2020-05-02,25929
67,2020-05-03,26322
68,2020-05-04,26715
69,2020-05-05,27108
70,2020-05-06,27501
71,2020-05-07,27894
72,2020-05-08,28286
73,2020-05-09,28679
74,2020-05-10,29072
75,2020-05-11,29465
76,2020-05-12,29858
77,2020-05-13,30251
78,2020-05-14,30644
79,2020-05-15,31037
80,2020-05-16,31429
81,2020-05-17,31822
82,2020-05-18,32215
83,2020-05-19,32608
84,2020-05-20,33001
85,2020-05-21,33394
86,2020-05-22,33787
87,2020-05-23,34180
88,2020-05-24,34572
89,2020-05-25,34965
90,2020-05-26,35358
91,2020-05-27,35751
92,2020-05-28,36144
93,2020-05-29,36537
94,2020-05-30,36930
95,2020-05-31,37323
96,2020-06-01,37715
97,2020-06-02,38108
98,2020-06-03,38501
99,2020-06-04,38894
100,2020-06-05,39287
101,2020-06-06,39680
102,2020-06-07,40073
103,2020-06-08,40466
104,2020-06-09,40858
105,2020-06-10,41251
106,2020-06-11,41644
