,dates,infected
0,2020-02-26,3408
1,2020-02-27,2907
2,2020-02-28,2447
3,2020-02-29,2026
4,2020-03-01,1644
5,2020-03-02,1303
6,2020-03-03,1002
7,2020-03-04,740
8,2020-03-05,517
9,2020-03-06,334
10,2020-03-07,191
11,2020-03-08,88
12,2020-03-09,24
13,2020-03-10,0
14,2020-03-11,16
15,2020-03-12,71
16,2020-03-13,166
17,2020-03-14,301
18,2020-03-15,476
19,2020-03-16,690
20,2020-03-17,944
21,2020-03-18,1236
22,2020-03-19,1570
23,2020-03-20,1943
24,2020-03-21,2355
25,2020-03-22,2808
26,2020-03-23,3300
27,2020-03-24,3832
28,2020-03-25,4403
29,2020-03-26,5015
30,2020-03-27,5666
31,2020-03-28,6356
32,2020-03-29,7087
33,2020-03-30,7857
34,2020-03-31,8666
35,2020-04-01,9516
36,2020-04-02,10405
37,2020-04-03,11334
38,2020-04-04,12302
39,2020-04-05,13311
40,2020-04-06,14359
41,2020-04-07,15446
42,2020-04-08,16574
43,2020-04-09,17741
44,2020-04-10,18948
45,2020-04-11,20194
46,2020-04-12,21480
47,2020-04-13,22806
48,2020-04-14,24172
49,2020-04-15,25577
50,2020-04-16,27022
51,2020-04-17,28507
52,2020-04-18,30031
53,2020-04-19,31595
54,2020-04-20,33199
55,2020-04-21,34843
56,2020-04-22,36526
57,2020-04-23,38249
58,2020-04-24,40011
59,2020-04-25,41814
60,2020-04-26,43656
61,2020-04-27,45537
62,2020-04-28,47459
63,2020-04-29,49420
64,2020-04-30,51421
65,2020-05-01,53461
66,2020-05-02,55542
67,2020-05-03,57662
68,2020-05-04,59821
69,2020-05-05,62021
70,2020-05-06,64260
71,2020-05-07,66538
72,2020-05-08,68857
73,2020-05-09,71215
74,2020-05-10,73613
75,2020-05-11,76050
76,2020-05-12,78528
77,2020-05-13,81045
78,2020-05-14,83601
79,2020-05-15,86198
80,2020-05-16,88834
81,2020-05-17,91510
82,2020-05-18,94225
83,2020-05-19,96980
84,2020-05-20,99775
85,2020-05-21,102610
86,2020-05-22,105484
87,2020-05-23,108398
88,2020-05-24,111352
89,2020-05-25,114345
90,2020-05-26,117378
91,2020-05-27,120451
92,2020-05-28,123564
93,2020-05-29,126716
94,2020-05-30,129908
95,2020-05-31,133139
96,2020-06-01,136411
97,2020-06-02,139722
98,2020-06-03,143072
99,2020-06-04,146463
100,2020-06-05,149893
101,2020-06-06,153363
102,2020-06-07,156872
103,2020-06-08,160422
104,2020-06-09,164011
105,2020-06-10,167639
106,2020-06-11,171308
