,dates,infected
0,2020-02-26,0
1,2020-02-27,156
2,2020-02-28,278
3,2020-02-29,370
4,2020-03-01,436
5,2020-03-02,478
6,2020-03-03,501
7,2020-03-04,507
8,2020-03-05,500
9,2020-03-06,483
10,2020-03-07,459
11,2020-03-08,432
12,2020-03-09,405
13,2020-03-10,381
14,2020-03-11,363
15,2020-03-12,356
16,2020-03-13,361
17,2020-03-14,383
18,2020-03-15,425
19,2020-03-16,491
20,2020-03-17,582
21,2020-03-18,703
22,2020-03-19,858
23,2020-03-20,1049
24,2020-03-21,1279
25,2020-03-22,1553
26,2020-03-23,1873
27,2020-03-24,2242
28,2020-03-25,2665
29,2020-03-26,3143
30,2020-03-27,3682
31,2020-03-28,4283
32,2020-03-29,4950
33,2020-03-30,5687
34,2020-03-31,6497
35,2020-04-01,7383
36,2020-04-02,8348
37,2020-04-03,9396
38,2020-04-04,10531
39,2020-04-05,11754
40,2020-04-06,13070
41,2020-04-07,14483
42,2020-04-08,15994
43,2020-04-09,17609
44,2020-04-10,19329
45,2020-04-11,21159
46,2020-04-12,23101
47,2020-04-13,25159
48,2020-04-14,27336
49,2020-04-15,29636
50,2020-04-16,32062
51,2020-04-17,34616
52,2020-04-18,37304
53,2020-04-19,40127
54,2020-04-20,43089
55,2020-04-21,46193
56,2020-04-22,49443
57,2020-04-23,52843
58,2020-04-24,56394
59,2020-04-25,60102
60,2020-04-26,63968
61,2020-04-27,67996
62,2020-04-28,72190
63,2020-04-29,76553
64,2020-04-30,81089
65,2020-05-01,85799
66,2020-05-02,90689
67,2020-05-03,95761
68,2020-05-04,101018
69,2020-05-05,106464
70,2020-05-06,112102
71,2020-05-07,117936
72,2020-05-08,123968
73,2020-05-09,130202
74,2020-05-10,136642
75,2020-05-11,143290
76,2020-05-12,150151
77,2020-05-13,157226
78,2020-05-14,164520
79,2020-05-15,172036
80,2020-05-16,179778
81,2020-05-17,187748
82,2020-05-18,195949
83,2020-05-19,204386
84,2020-05-20,213062
85,2020-05-21,221979
86,2020-05-22,231141
87,2020-05-23,240552
88,2020-05-24,250214
89,2020-05-25,260131
90,2020-05-26,270307
91,2020-05-27,280745
92,2020-05-28,291447
93,2020-05-29,302418
94,2020-05-30,313660
95,2020-05-31,325178
96,2020-06-01,336973
97,2020-06-02,349050
98,2020-06-03,361412
99,2020-06-04,374062
100,2020-06-05,387004
101,2020-06-06,400240
102,2020-06-07,413775
103,2020-06-08,427610
104,2020-06-09,441751
105,2020-06-10,456200
106,2020-06-11,470960
